Date,rf
2023-01-04,0.0001497737766442686
2023-01-05,0.0002497638551131054
2023-01-06,9.983476468011787e-5
2023-01-09,0.0
2023-01-10,0.00034942498395507116
2023-01-11,0.00014972306958394022
2023-01-12,0.0006985012758145004
2023-01-13,9.970534667069764e-5
2023-01-17,0.0
2023-01-18,0.00019939081301112438
2023-01-19,9.975179496035658e-5
2023-01-20,0.00014953651306481852
2023-01-23,0.00029895206664631857
2023-01-24,-0.00019924181401209662
2023-01-25,0.0005481385322176902
2023-01-26,0.0
2023-01-27,0.00019917234518662674
2023-01-30,0.0002986990251945265
2023-01-31,0.0
2023-02-01,0.0003982225975216469
2023-02-02,0.0004478506366740742
2023-02-03,0.0
2023-02-06,0.00014921671875556264
2023-02-07,-0.00014919445644834273
2023-02-08,-4.9764270304009095e-5
2023-02-09,0.0001492241447862419
2023-02-10,-4.97593216176595e-5
2023-02-13,0.0008255588767285271
2023-02-14,-7.952279027378939e-5
2023-02-15,0.0002981961641115305
2023-02-16,0.0004471609045009206
2023-02-17,9.922337575085649e-5
2023-02-21,0.0002482617310695101
2023-02-22,0.0001489352572132674
2023-02-23,0.00014891307880571247
2023-02-24,0.00044667272100684663
2023-02-27,-4.9633441100094267e-5
2023-02-28,-4.9560008822169266e-5
2023-03-01,-9.927672955734046e-5
2023-03-02,0.0001984972656337014
2023-03-03,0.0001488244311886877
2023-03-06,4.955017471175438e-5
2023-03-07,0.00019834263257267892
2023-03-08,-0.0003966066011481528
2023-03-09,0.0005456642836543235
2023-03-10,0.00012879452721858975
2023-03-13,0.0012095115478472085
2023-03-14,3.969265161751778e-5
2023-03-15,0.00035638647594748996
2023-03-16,-9.896518159580037e-5
2023-03-17,0.00024747530509960924
2023-03-20,0.00024741407622563827
2023-03-21,0.00014842686446026043
2023-03-22,4.94178269703216e-5
2023-03-23,0.00044519251113994684
2023-03-24,0.0001977248630542494
2023-03-27,0.00014830214463357194
2023-03-28,0.00014828015436862962
2023-03-29,-0.00014825817062424917
2023-03-30,0.0004942167715213941
2023-03-31,0.0
2023-04-03,9.885499015904742e-5
2023-04-04,0.0002963089472303171
2023-04-05,0.0003950371130152508
2023-04-06,9.870140069900835e-5
2023-04-10,0.00014799973450663195
2023-04-11,0.00018761475360151714
2023-04-12,0.00015783857620088604
2023-04-13,0.00019728595210066757
2023-04-14,0.00024659652650527164
2023-04-17,0.0
2023-04-18,-0.00014793652685618497
2023-04-19,0.0002959168306206905
2023-04-20,0.0003944139102824984
2023-04-21,0.00019716690385762625
2023-04-24,0.00019705265316249942
2023-04-25,0.0001970138310642966
2023-04-26,0.0002955378902633754
2023-04-27,4.9191541164228525e-5
2023-04-28,0.00014771802023494374
2023-05-01,0.0001476962028443829
2023-05-02,0.0002460988846102463
2023-05-03,4.9162494693222314e-5
2023-05-04,0.00014763080043755927
2023-05-05,0.00024598992389734953
2023-05-08,0.00014757270740228812
2023-05-09,0.00019675965811516427
2023-05-10,0.00019664572347077858
2023-05-11,0.0004915928669393388
2023-05-12,9.825522919659768e-5
2023-05-15,9.82455760549783e-5
2023-05-16,-4.908038171458351e-5
2023-05-17,0.0001571701613913845
2023-05-18,0.0002849060016865135
2023-05-19,-0.00034365309399730926
2023-05-22,0.0004911554441218158
2023-05-23,0.0
2023-05-24,0.0003437527113907546
2023-05-25,0.00024533526938186334
2023-05-26,-4.902498832937141e-5
2023-05-30,0.0001471572559226253
2023-05-31,0.00034351659348041963
2023-06-01,0.00034332358694588727
2023-06-02,0.0003432057563144131
2023-06-05,-4.904471175393166e-5
2023-06-06,0.00019611347343051477
2023-06-07,0.00014703752013600635
2023-06-08,0.0005879886432651471
2023-06-09,-9.800295747153243e-5
2023-06-12,0.00029396275582560527
2023-06-13,-9.798375941660886e-5
2023-06-14,0.0
2023-06-15,0.0
2023-06-16,0.0008814158212679946
2023-06-20,0.00014671089151718775
2023-06-21,0.00019571056331102454
2023-06-22,0.0003423329357283844
2023-06-23,-9.776525238913703e-5
2023-06-26,-4.892480997309434e-5
2023-06-27,0.00034234080161454905
2023-06-28,0.00019549226545390042
2023-06-29,0.0002931810835467008
2023-06-30,0.0002443580864810446
2023-07-03,0.00014647440953807767
2023-07-05,0.0004884505030471331
2023-07-06,0.00014638145783085754
2023-07-07,0.0003417058739807466
2023-07-10,0.00019512981656744088
2023-07-11,0.00019509174835041776
2023-07-12,0.0
2023-07-13,0.0003901820088261232
2023-07-14,0.000224291391738074
2023-07-17,0.00016570126909876137
2023-07-18,0.0
2023-07-19,-0.0001462134809276927
2023-07-20,0.00024369991353423437
2023-07-21,0.0
2023-07-24,0.0005360390057467246
2023-07-25,0.00014612090718957305
2023-07-26,9.73748717996159e-5
2023-07-27,0.00030185506025515174
